Date,Open,Close,High,Volume
2015-12-16,778.0,772.0,778.0,141
2015-12-17,775.0,775.0,775.0,10
2015-12-18,777.0,777.0,777.0,6
2015-12-21,779.0,779.5499877929688,779.5499877929688,39
2015-12-22,783.0,778.0,800.0,49
2015-12-23,783.7999877929688,785.4000244140625,786.0,53
2015-12-24,788.8499755859375,782.7000122070312,788.8499755859375,46
2015-12-28,788.2000122070312,790.0,792.0,86
2015-12-29,929.2999877929688,797.7999877929688,929.2999877929688,13
2015-12-30,795.5999755859375,790.5499877929688,795.5999755859375,8
2015-12-31,793.5499877929688,789.7999877929688,793.5499877929688,30
2016-01-01,792.0,790.5,794.7000122070312,32
2016-01-04,789.7000122070312,782.9500122070312,789.7000122070312,1763
2016-01-05,784.0,776.9000244140625,784.0999755859375,515
2016-01-06,780.0,783.3499755859375,783.3499755859375,9
2016-01-07,780.0,761.2100219726562,790.0,294
2016-01-08,770.0,757.7000122070312,868.4000244140625,1739
2016-01-11,777.9199829101562,755.7000122070312,777.9199829101562,57
2016-01-12,756.1500244140625,754.6500244140625,756.1500244140625,88
2016-01-13,758.5999755859375,752.5999755859375,758.5999755859375,60
2016-01-14,753.0,754.2999877929688,754.2999877929688,37
2016-01-15,701.5,747.5499877929688,754.1500244140625,29
2016-01-18,738.52001953125,740.0,740.0,10
2016-01-19,740.5,740.0999755859375,743.0,16
2016-01-20,732.9500122070312,733.9500122070312,733.9500122070312,142
2016-01-21,734.0,734.0,734.0,5
2016-01-22,738.1500244140625,738.1500244140625,738.1500244140625,8
2016-01-25,744.25,745.7000122070312,749.0,107
2016-01-27,740.0,746.0399780273438,747.4000244140625,49
2016-01-28,740.0499877929688,745.0,745.0,44
2016-01-29,747.5999755859375,752.5,752.5,369
2016-02-01,759.0,755.0999755859375,760.4500122070312,75
2016-02-02,752.0499877929688,753.3699951171875,755.0999755859375,1324
2016-02-04,746.4500122070312,742.47998046875,746.4500122070312,12
2016-02-05,848.4000244140625,746.75,848.4000244140625,212
2016-02-08,751.6500244140625,750.0,751.6500244140625,163
2016-02-09,733.0,733.4000244140625,733.4000244140625,348
2016-02-10,724.0,729.3900146484375,729.3900146484375,85
2016-02-11,718.0,701.489990234375,718.0,565
2016-02-12,702.0,699.3699951171875,702.0,6263
2016-02-15,708.9500122070312,716.6199951171875,717.0,116
2016-02-16,716.7000122070312,702.5499877929688,716.7000122070312,18
2016-02-17,700.5499877929688,707.5499877929688,707.5499877929688,116
2016-02-18,720.5700073242188,718.0,720.5700073242188,11
2016-02-19,714.510009765625,721.0,721.0,28
2016-02-22,720.02001953125,722.9000244140625,724.7999877929688,18
2016-02-23,720.72998046875,712.4400024414062,720.77001953125,39
2016-02-24,705.9000244140625,703.0,708.4000244140625,1585
2016-02-25,703.25,698.0,703.25,69
2016-02-26,705.0,705.5,705.5,787
2016-02-29,703.7999877929688,698.1099853515625,705.0,1893
2016-03-01,715.1099853515625,724.5,724.5,881
2016-03-02,729.969970703125,734.9099731445312,737.2000122070312,127
2016-03-03,738.7000122070312,746.5900268554688,746.77001953125,3123
2016-03-04,747.0,745.9500122070312,747.0,119
2016-03-08,752.9000244140625,748.9500122070312,753.4500122070312,44
2016-03-09,738.0,751.5399780273438,751.5399780273438,152
2016-03-10,751.0999755859375,751.739990234375,752.0,918
2016-03-11,755.0,750.4000244140625,755.0,15
2016-03-14,655.5,756.3499755859375,759.3499755859375,34
2016-03-15,755.4000244140625,750.4099731445312,755.4000244140625,11
2016-03-16,746.7999877929688,745.0,746.7999877929688,268
2016-03-17,755.0,751.010009765625,759.1400146484375,77
2016-03-18,757.2999877929688,758.25,758.5,19
2016-03-21,760.0,764.3800048828125,769.97998046875,147
2016-03-22,771.9500122070312,773.9000244140625,775.0,233
2016-03-23,774.5499877929688,775.5,775.5,130
2016-03-28,774.8499755859375,769.3699951171875,775.5,20
2016-03-29,767.75,763.9400024414062,767.75,68561
2016-03-30,768.1599731445312,772.9299926757812,773.0999755859375,928
2016-03-31,775.0,779.9000244140625,782.5499877929688,290
2016-04-01,781.0399780273438,768.0,781.22998046875,36
2016-04-04,776.0,778.0,780.22998046875,9
2016-04-05,775.9500122070312,760.7899780273438,775.9500122070312,26
2016-04-06,759.7100219726562,765.0900268554688,765.0900268554688,101
2016-04-07,764.0999755859375,756.6599731445312,764.0999755859375,21
2016-04-08,760.8499755859375,759.9500122070312,761.0999755859375,5
2016-04-11,759.0,766.0,766.0,22
2016-04-12,766.5499877929688,771.3499755859375,773.5,33
2016-04-13,778.9500122070312,783.1599731445312,786.0,81
2016-04-18,790.0,788.8300170898438,790.6500244140625,31
2016-04-20,791.0999755859375,789.0999755859375,795.7999877929688,155
2016-04-21,798.0,789.8499755859375,798.0,248
2016-04-22,789.0,789.5999755859375,793.7999877929688,28
2016-04-25,790.0,784.5499877929688,791.1500244140625,19
2016-04-26,787.3699951171875,798.1500244140625,798.1500244140625,166
2016-04-27,800.989990234375,794.7000122070312,800.989990234375,59
2016-04-28,802.3499755859375,802.3499755859375,802.3499755859375,2
2016-04-29,788.0599975585938,791.0,792.6500244140625,17
2016-05-02,783.7999877929688,783.2899780273438,783.8900146484375,25
2016-05-03,793.2000122070312,772.0599975585938,793.2000122070312,10
2016-05-04,770.0,775.7899780273438,776.5999755859375,59
2016-05-05,775.3800048828125,775.3400268554688,775.3800048828125,4
2016-05-06,772.0499877929688,772.0900268554688,772.0900268554688,23
2016-05-09,780.260009765625,788.8400268554688,791.239990234375,37
2016-05-10,788.5900268554688,786.8499755859375,788.6099853515625,14
2016-05-11,789.1500244140625,783.3499755859375,789.1500244140625,15
2016-05-12,793.75,787.8499755859375,793.75,14
2016-05-13,787.2999877929688,783.0,787.2999877929688,54
2016-05-16,784.4500122070312,783.9000244140625,784.4500122070312,102
2016-05-17,790.0,786.2999877929688,791.0,107
2016-05-18,786.0900268554688,784.5,786.0900268554688,8
2016-05-19,786.530029296875,786.530029296875,786.530029296875,1
2016-05-20,782.7000122070312,782.0900268554688,782.9000244140625,25
2016-05-23,779.6799926757812,779.6500244140625,779.6799926757812,42
2016-05-24,776.0,776.7100219726562,776.9000244140625,34
2016-05-25,789.0800170898438,789.0800170898438,789.0800170898438,1
2016-05-26,796.0,806.5,808.5,170
2016-05-27,810.1599731445312,814.4500122070312,816.8499755859375,83
2016-05-30,822.1500244140625,821.0999755859375,822.2899780273438,16
2016-05-31,815.3499755859375,816.5,819.4500122070312,15
2016-06-01,824.6799926757812,824.5,824.6799926757812,22
2016-06-02,820.0,822.5499877929688,824.969970703125,127
2016-06-03,824.510009765625,824.0499877929688,829.6900024414062,17
2016-06-06,822.5499877929688,819.9500122070312,825.9000244140625,35
2016-06-07,828.6099853515625,827.5,833.1400146484375,157
2016-06-08,830.8900146484375,830.0,831.0,18
2016-06-09,830.4500122070312,824.0,830.4500122070312,527
2016-06-10,824.5499877929688,823.4500122070312,829.7899780273438,165
2016-06-13,814.75,813.8400268554688,814.75,35
2016-06-14,814.5900268554688,814.7100219726562,815.2899780273438,42
2016-06-15,811.760009765625,823.0,823.0,537
2016-06-16,819.0800170898438,813.22998046875,819.0800170898438,24
2016-06-17,821.489990234375,820.0499877929688,821.5999755859375,44
2016-06-20,824.3200073242188,825.5,825.5,48
2016-06-21,820.9099731445312,826.22998046875,826.22998046875,38
2016-06-22,827.5999755859375,823.6500244140625,827.6599731445312,32
2016-06-23,823.6599731445312,828.2999877929688,828.2999877929688,11
2016-06-24,805.0599975585938,812.4600219726562,818.25,7565
2016-06-27,816.7999877929688,814.0999755859375,818.0499877929688,22
2016-06-28,820.3900146484375,815.5599975585938,820.3900146484375,9
2016-06-29,827.5499877929688,825.2899780273438,827.7999877929688,9
2016-06-30,830.0,832.27001953125,832.27001953125,185
2016-07-01,851.8800048828125,837.0499877929688,900.0,169
2016-07-04,854.0,841.030029296875,854.0,15
2016-07-05,845.2999877929688,840.0,845.2999877929688,237
2016-07-07,838.22998046875,844.5499877929688,844.7999877929688,87
